SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
C(=Nc1cc[n+](CCCCCCCCCCCC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,41,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C(=Nc1cc[n+](CCCCCC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,47,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C(=Nc1cc[n+](CC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,50,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.00079,3.102372909,33.4,0.00000148,1.12,38.6,3.83615488,0.021576406,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.00024,3.619788758,31.3,0.0000014,1.19,40.7,4.483081557,0.011298542,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.000031,4.508638306,32.5,0.00000159,1.05,39.5,5.224704706,0.005381949,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,0.00413,2.384049948,43.1,0.00000234,0.72,28.9,2.717154998,0.066062435,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],cationic,0.00126,2.899629455,42.8,0.00000231,0.72,29.2,3.248434626,0.038834951,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,0.00084,3.075720714,43.2,0.00000231,0.72,28.8,3.409360443,0.033062339,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,,31.6,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-010-1211-x,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,,,39.5,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,,,34,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],cationic,,,33.2,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,non-ionic,4.95450190804791E-05,4.305,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,non-ionic,7.65596606911257E-05,4.116,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,non-ionic,9.7050996724549E-05,4.013,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,non-ionic,0.000130016957803329,3.886,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,non-ionic,0.000149968483550237,3.824,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000209893988362352,3.678,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000250034536169643,3.602,29.8,0.0000029,,42,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000279898131963436,3.553,31.8,0.0000026,,40,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000299916251898765,3.523,33.3,0.0000025,,38.5,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000330369541036815,3.481,34.8,0.0000022,,37,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
