SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.677780705,34.8,,,37.2,3.09,2.0
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.200659451,29.8,3e-06,0.55,42.2,3.2,3.0
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.8569852,44.0,1.1e-06,1.51,28.0,3.18,1.0
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.787013815,39.2,2.9e-06,0.57,32.8,2.2,9.0
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],anionic,25.0,1.958607315,39.0,2.9e-06,0.57,33.0,2.41,5.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,20.2,2.8e-06,0.59,51.8,2.57,1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.537602002,20.6,3.9e-06,0.43,51.4,2.51,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,24.6,4e-06,0.42,47.4,2.5,2.0
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],anionic,25.0,1.879426069,35.2,1.55e-06,1.07,36.8,2.85,9.0
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.602059991,41.0,2.9e-06,0.572599678,31.0,3.05,2.0
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.537602002,41.4,2.6e-06,0.64,30.6,2.94,5.0
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.408935393,41.1,3.2e-06,0.52,30.9,3.73,5.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.920818754,36.9,9.7e-07,1.708,35.07,6.28,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.795880017,33.7,1.17e-06,1.414,38.27,6.17,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.522878745,34.1,1.29e-06,1.288,37.87,5.73,4.0
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.229147988,34.4,1.66e-06,1.001,37.57,5.17,4.0
CCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.327994555,20.0,1.77e-06,0.94,52.0,4.91136954,2.0
CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.398048596,18.0,2.06e-06,0.8,54.0,3.84355082,2.0
CCCCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.041006335,19.0,1.66e-06,0.99,53.0,3.782063054,2.0
CCCCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.921180817,20.0,1.6e-06,1.04,52.0,4.672789395,2.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.091514981,39.5,1.95e-06,0.52,32.0,2.5,5.0
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.065501549,,,,,,5.0
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.869666232,,,,,,2.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.602059991,,,,,,7.0
CCCCCCCCCCCCS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,anionic,25.0,2.657577319,,,,,,9.0
CCCCCCCCCCCOCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.537602002,,,,,,8.0
CCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.408935393,,,,,,9.0
CCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.798602876,,,,,,3.0
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,0.769551079,,,,,,1.0
O=C([O-])C(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)F.[Na+],anionic,25.0,1.522878745,,,,,,1.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980392,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.537602002,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,1.48148606,,,,,,2.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.522878745,,,,,,3.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.542118103,38.2,,,33.77,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,3.991399828,38.1,,,33.87,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25.0,4.443697499,38.2,,,33.77,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.886056648,38.3,,,33.67,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,4.27572413,38.1,,,33.87,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25.0,3.403402904,39.9,,,32.07,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.769551079,40.4,,,31.57,,4.0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.829738285,38.7,,,33.27,,4.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.397940009,,,,,,7.0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.301029996,,,,,,7.0
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.0,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.853871964,,,,,,9.0
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,3.657577319,,,,,,9.0
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.721246399,,,,,,5.0
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.552841969,,,,,,5.0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.602059991,,,,,,2.0
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.13667714,,,,,,4.0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],anionic,25.0,2.050609993,,,,,,5.0
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.657577319,,,,,,9.0
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,3.040958608,,,,,,5.0
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25.0,1.180456064,,,,,,5.0
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.853871964,,,,,,1.0
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,1.27572413,,,,,,3.0
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25.0,0.698970004,,,,,,4.0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.30980392,,,,,,1.0
